"[$([C;R1]);!$(C(N)N)](=O)@[$([NH][c,CX4]),$(N([c,CX4])[c,CX4])]",lactam,
OC(=O)CC(=O)[OH],malonic acid,
"[r8,r9,r10,r11,r12,r13,r14]",macrocycle,
*-C#N,nitrile,
*-N(=O)(~O),nitro,
OC(=O)C(=O)O,oxalyl,
C=[N;R0]-[OH],protonated oxime,
c[SH],thiophenol,
c[OH],phenol,
[PX3](=O)(~O)~[OH],phosphonic acid,
[PX3](=O)(~O)~O-[#6],phosphonic ester,
[PX4](=O)(~O)(~O)~[OH],phosphoric acid,
[PX4](=O)(~O)(~O)~O-[#6],phosphoric ester,
[PX4](=O)(~O)~O,phosphinate,
O=P(~O)(~O)(~O),phosphate,
"[c,C]1(~[O;D1])~*!-*~[c,C](~[O;D1])~*!-*~1",quinone,
C14~*~*~*~*~C~1~*~*~C2~C3~*~*~*~C~3~*~*~C~2~4,steroid,
[#6][SD3](~O)[#6],sulphoxide,
[#6][SD4](~O)(~O)[#6],sulphone,
[#6][SD4](~O)(~O)N,sulphonamide,
[#6]S(~O)(~O)[OH],sulphonic acid,
[#6]S(~O)(~O)O[#6],sulphonic ester,
"[#6][SD4](~O)(~O)[Cl,Br]",sulphonyl halide,
[ND3]([CX4])([CX4])[CX4],tertiary amine,
"s1c(=N)nnc1[S,N]",thiadiazole,
"S=C([c,CX4])[$([NH2]),$([NH][c,CX4]),$(N([c,CX4])[c,CX4])]",thioamide,
"[$([#6]);!$(C=[O,S,N])]C(=S)O[$([#6]);!$(C=[O,S,N])]",thioester,
"[$([#16;D2]([$([CX4,c]);!$(C[O,N,S])])[$([CX4,c]);!$(C[O,N,S])]);!$([#16;D2]1[CX4][CX4]1);!$(s1aaaa1)]",thioether,
[CX4][SH],thiol,
NC(=S)N,thiourea,
"[$([CX4,c][CH]=S),$([CX4,c]C(=S)[CX4,c])]",carbo thiocarbonyl,
[D2R0]-[D2R0]-[D2R0]-[D2R0]-[D2R0],unbranched chain,
NC(=O)N,urea,
O1CCNCC1,morpholine,
N1CCNCC1,piperzine,
N1CCCCC1,piperdine,
n1ccccc1,pyridine,
n1cncc1,imidazole,
[C&R1](=O)[O&R1][C&R1],lactone,
c1nnnn1,tetrazole,
[N!$(N-O)]=O,nitroso,
C=N-O,oxime,
C1[NX3H]C1,free aziridine,
C1[NX3]([#6])C1,substituted aziridine,
C1SC1,thiirane,
C1N=C1,azirine,
C1=CO1,oxirene,
C1=CS1,thiirene,
C1CN([#6])C1,substituted azetidine,
C1C[NX3H]C1,free azetidine,
C1COC1,oxetane,
C1CSC1,thietane,
C1=CN=C1,azete,
C1=CCO1,oxete,
C1=CCS1,thiete,
C1CCN([#6])C1,substituted pyrrolidine,
C1CC[NX3H1]C1,free pyrrolidine,
C1CCOC1,oxolane,
C1CCSC1,thiolane,
c1cc[NH]c1,pyrrole,
c1ccoc1,furan,
c1ccsc1,thiophene,
C1CCC[NH]C1,free piperidine,
C1CCC[NX3]([#6])C1,substituted piperidine,
C1CCCC[NH]C1,free azepane,
C1CCCC[NX3]([#6])C1,substituted azepane,
C1CCCC[NH]CC1,free azocane,
C1CCCC[NX3]([#6])CC1,substituted azocane,
C1CCCC[NH]CCC1,free azonane,
C1CCCC[NX3]([#6])CCC1,substituted azonane,
C1CCCOC1,oxane,
C1CCCSC1,thiane,
C1=CC=CCO1,pyran,
C1=CC=CCS1,thiopyran,
C1CCCOCC1,oxepane,
C1CCCSCC1,thiepane,
C1CCCOCCC1,oxocane,
C1CCCSCCC1,thiocane,
C1CCCOCCCC1,oxonane,
C1CCCSCCCC1,thionane,
c1ccccoc1,oxepine,
c1ccccsc1,thiepine,
c1ccccoccc1,oxonine,
c1ccccsccc1,thionine,
C1NN1,diaziridine,
c1[nH]n1,free diazirine,
c1[nX3]([#6])n1,substituted diazirine,
c1on1,oxaziridine,
C1COO1,"1,2-dioxetane",
C1OCO1,"1,3-dioxetane",
C1SSC1,"1,2-dithietane",
C1SCS1,"1,3-dithietane",
S1C=CS1,dithiete,
C1NCNC1,imidazolidine,
C1CNNC1,pyrazolidine,
c1nc[nH]c1,free imidazole,
c1n[nH]cc1,free pyrazole,
c1nc[nX3]([#6])c1,substituted imidazole,
c1n[nX3]([#6])cc1,substituted pyrazole,
C1OC[NH]C1,free oxazolidine,
C1OC[NX3]([#6])C1,substituted oxazolidine,
C1[NH]OCC1,free isoxazolidine,
C1[NX3]([#6])OCC1,substituted isoxazolidine,
c1ncoc1,oxazole,
c1nocc1,isoxazole,
C1SC[NH]C1,free thiazolidine,
C1SC[NX3]([#6])C1,substituted thiazolidine,
C1[NH]SCC1,free isothiazolidine,
C1[NX3]([#6])SCC1,substituted isothiazolidine,
c1ncsc1,thiazole,
c1nscc1,isothiazole,
[N!H;R],substituted nitrogen saturated heterocycle,
[Nx3;R],saturated nitrogen saturated heterocycle,
[NH;R],free nitrogen saturated heterocycle,
[O;R],single oxygen saturated heterocycle,
[S;R],single sulfur saturated heterocycle,
[n!H;R],substituted nitrogen unsaturated heterocycle,
[nx3;R],saturated nitrogen unsaturated heterocycle,
[nH;R],free nitrogen unsaturated heterocycle,
[nX2;R],basic nitrogen unsaturated heterocycle,
[o;R],single oxygen unsaturated heterocycle,
[s;R],single sulfur unsaturated heterocycle,
c1cnnn1,triazole,
[#6]Sn([#6])([#6])[#6],carbo stannane,
[#6][#14]([#6])([#6])[#6],carbo silane,
[SnH1](C)(C)C,trialkyl tin hydride,
[SiH1](C)(C)C,trialkyl sillyl hydride,
[B-X4H],borohydride,
cSn(C)(C)C,trialkyl stannane aromatic,
c[#14](C)(C)C,trialkyl silane aromatic,
[#6][#4](-O[#6])-O[#6],boronic ester,
